sample_id,target,modality,official_seq_index,signed_importance,absolute_importance,mapping_status,token_id,char_start,char_end,raw_text_substring
02,regression,vision,18,-0.0034183983225375414,0.0034183983225375414,index_only,,,,
03,classification,text,20,0.029177065938711166,0.029177065938711166,verified_text,1056,72,73,t
03,classification,text,28,0.01941603608429432,0.01941603608429432,verified_text,2202,112,116,take
03,classification,text,18,0.01917937584221363,0.01917937584221363,verified_text,2123,68,71,don
03,classification,text,14,0.018937457352876663,0.018937457352876663,verified_text,2074,50,54,just
03,classification,text,24,0.018695546314120293,0.018695546314120293,verified_text,2046,93,97,into
03,classification,audio,14,-0.0027240084018558264,0.0027240084018558264,index_only,,,,
03,classification,audio,13,-0.002675662748515606,0.002675662748515606,index_only,,,,
03,classification,audio,30,-0.0025071417912840843,0.0025071417912840843,index_only,,,,
03,classification,audio,32,-0.002037209924310446,0.002037209924310446,index_only,,,,
03,classification,audio,33,-0.002037209924310446,0.002037209924310446,index_only,,,,
03,classification,vision,4,-0.001825973973609507,0.001825973973609507,index_only,,,,
03,classification,vision,1,-0.0016885726945474744,0.0016885726945474744,index_only,,,,
03,classification,vision,2,-0.0016885726945474744,0.0016885726945474744,index_only,,,,
03,classification,vision,3,-0.0016885726945474744,0.0016885726945474744,index_only,,,,
03,classification,vision,18,-0.0015379823744297028,0.0015379823744297028,index_only,,,,
03,regression,text,20,-0.04280823469161987,0.04280823469161987,verified_text,1056,72,73,t
03,regression,text,28,-0.03195951506495476,0.03195951506495476,verified_text,2202,112,116,take
03,regression,text,24,-0.03117739036679268,0.03117739036679268,verified_text,2046,93,97,into
03,regression,text,14,-0.030128680169582367,0.030128680169582367,verified_text,2074,50,54,just
03,regression,text,18,-0.02881886437535286,0.02881886437535286,verified_text,2123,68,71,don
03,regression,audio,13,0.007256313227117062,0.007256313227117062,index_only,,,,
03,regression,audio,8,0.005527337081730366,0.005527337081730366,index_only,,,,
03,regression,audio,30,0.005341295152902603,0.005341295152902603,index_only,,,,
03,regression,audio,32,0.00477958656847477,0.00477958656847477,index_only,,,,
03,regression,audio,33,0.00477958656847477,0.00477958656847477,index_only,,,,
03,regression,vision,4,0.0037928016390651464,0.0037928016390651464,index_only,,,,
03,regression,vision,13,-0.0033553065732121468,0.0033553065732121468,index_only,,,,
03,regression,vision,1,0.003194927703589201,0.003194927703589201,index_only,,,,
03,regression,vision,2,0.003194927703589201,0.003194927703589201,index_only,,,,
03,regression,vision,3,0.003194927703589201,0.003194927703589201,index_only,,,,
04,classification,text,25,-0.05288418009877205,0.05288418009877205,verified_text,2025,103,106,not
04,classification,text,10,-0.045646779239177704,0.045646779239177704,verified_text,2323,35,41,should
